Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Ellen,Venus,14.60,-22.80,281.30,"Crater, craters",1997,German first name.
Elma,Venus,10.20,-10.10,91.10,"Crater, craters",1997,Finnish first name.
Elza,Venus,18.00,-34.40,275.90,"Crater, craters",1994,Latvian first name.
Embla Coronae,Venus,132.00,28.90,205.40,"Corona, coronae",2006,"Scandinavian Earth goddess, creator of life."
Emegelji Coronae,Venus,225.00,-21.50,213.50,"Corona, coronae",2003,Mongolian childcare goddess.
Emegen Corona,Venus,180.00,37.50,290.50,"Corona, coronae",1997,Tuva (S. Siberia) childcare goddess.
Emilia,Venus,12.50,-26.50,88.20,"Crater, craters",1997,Swedish first name.
Emma,Venus,11.80,-13.70,302.30,"Crater, craters",1997,German first name.
Enekeler Corona,Venus,350.00,-46.00,264.00,"Corona, coronae",1997,Altay childbirth goddess.
Enid,Venus,9.20,16.40,352.10,"Crater, craters",1997,Celtic first name.
Enyo Fossae,Venus,700.00,-62.00,351.00,"Fossa, fossae",1991,Greek war goddess.
Eostre Mons,Venus,26.00,45.10,329.10,"Mons, montes",1991,Teutonic goddess of spring.
Epona Corona,Venus,225.00,-28.00,208.50,"Corona, coronae",1994,Celtic horse/fertility goddess.
Ereshkigal Corona,Venus,320.00,21.00,84.50,"Corona, coronae",1994,Mesopotamian nature/fertility goddess.
Erigone Corona,Venus,325.00,-34.50,284.00,"Corona, coronae",1997,Greek harvest goddess.
Erika,Venus,10.50,72.00,175.40,"Crater, craters",1985,"Hungarian, German first name."
Erin,Venus,13.60,-47.00,184.80,"Crater, craters",1994,Irish first name.
Erinna,Venus,33.80,-78.00,309.10,"Crater, craters",1994,Greek poet (c. 500 B.C.).
Eriu Fluctus,Venus,600.00,-37.00,357.00,"Fluctus, fluctūs",1991,Irish earth mother.
Erkeley,Venus,8.00,43.90,103.30,"Crater, craters",1997,Altai first name.
Erkir Corona,Venus,275.00,-16.30,233.70,"Corona, coronae",1994,Armenian earth goddess.
Ermolova,Venus,60.90,60.30,154.40,"Crater, craters",1985,Mariya; Russian actress (1853-1928).
Erxleben,Venus,31.60,-50.90,39.40,"Crater, craters",1991,Dorothea; first woman Ph.D in Germany (1715-1762).
Erzulie Mons,Venus,300.00,-68.00,8.00,"Mons, montes",1997,Haitian voodoo goddess of love.
Escoda,Venus,19.60,18.20,149.50,"Crater, craters",1994,Philipino organizer of Girl Scouts of P.I. (1898-1945).
Esmeralda,Venus,9.80,64.40,104.50,"Crater, craters",1997,Gypsy first name.
Estelle,Venus,18.80,1.10,93.70,"Crater, craters",1994,First name from Latin.
Esterica,Venus,3.60,36.80,3.60,"Crater, craters",2003,Romanian first name.
Esther,Venus,17.60,19.40,21.80,"Crater, craters",1994,First name from Persian.
Etain Dorsa,Venus,1400.00,-45.00,199.00,"Dorsum, dorsa",1997,Irish sun and horse goddess.
Eudocia,Venus,27.50,-59.10,202.00,"Crater, craters",1994,Byzantine empress (c. 401-460).
Eugenia,Venus,6.00,80.60,105.40,"Crater, craters",1997,Greek first name.
Eurynome Corona,Venus,200.00,26.50,94.50,"Corona, coronae",1994,Greek mother earth goddess.
Evaki Tholus,Venus,200.00,37.60,342.20,"Tholus, tholi",1997,Amazonian sleep goddess.
Evangeline,Venus,16.00,69.60,221.90,"Crater, craters",1994,First name from Greek.
[Eve],Venus,23.00,-32.00,0.10,"Crater, craters",1994,Hebrew first name; Pioneer-Venus longitude setting feature.
Eve Corona,Venus,330.00,-32.00,359.80,"Corona, coronae",1994,Hebrew first name; name changed from Eve (crater).
Evelyn,Venus,18.00,-61.20,212.30,"Crater, craters",1997,Celtic first name.
Evika,Venus,20.30,-5.10,31.40,"Crater, craters",1994,Tatar first name.
Ezili Tholus,Venus,150.00,23.70,91.30,"Tholus, tholi","Sep 25, 2006","Benin (West Africa) goddess of “;sweet water,“; beauty, and love."
Ezraela,Venus,7.80,57.00,186.80,"Crater, craters",1997,Hebrew first name.
Faiga,Venus,9.60,4.90,170.90,"Crater, craters",1994,Anglo-Saxon first name.
Faina,Venus,10.00,71.10,100.70,"Crater, craters",1997,Turkish first name.
Fakahotu Corona,Venus,290.00,59.10,106.40,"Corona, coronae",1985,Tuamotu earth mother.
Fand Mons,Venus,300.00,7.00,158.00,"Mons, montes",2003,Celtic goddess of healing and pleasure.
Fara Vallis,Venus,260.00,-1.20,345.50,"Vallis, valles",2000,Malagasy (Madagascar) water goddess.
Faravari Mons,Venus,500.00,-43.50,309.00,"Mons, montes",1997,Malagasy (Madagascar) water goddess.
Farida,Venus,18.00,4.80,39.00,"Crater, craters",1994,Azeri first name.
Fatima,Venus,14.50,-17.80,31.90,"Crater, craters",1994,Arabic first name.
Fatua Corona,Venus,400.00,-16.30,17.70,"Corona, coronae",1994,Roman goddess of fertility.
Faufau,Venus,7.80,18.80,8.30,"Crater, craters",1997,Polynesian first name.
Fava,Venus,9.70,-0.70,87.40,"Crater, craters",1997,Dunghan (Kyrgyzstan) first name.
Fazu,Venus,6.10,32.40,106.00,"Crater, craters",1997,Avarian (Daghestan) first name.
Fea Fossae,Venus,620.00,27.50,224.00,"Fossa, fossae",1997,Gaelic war goddess.
Fedchenko Patera,Venus,75.00,-24.00,226.50,"Patera, paterae",1997,"Olga; Russian botanist, explorer of Central Asia (1845-1921)."
Fedorets,Venus,57.60,59.70,65.60,"Crater, craters",1985,Velentina; Soviet astronomer (1923-1976).
[Fedosova],Venus,24.00,45.00,171.80,"Crater, craters",1992,Irina; Russian folk poet (1831-1899). Changed to Fedosova Patera.
Fedosova Patera,Venus,24.00,45.00,171.80,"Patera, paterae",1997,Irina; Russian folk poet (1831-1899). Changed from Fedosova crater.
Fefafa Corona,Venus,100.00,-24.80,210.80,"Corona, coronae",2003,"Polynesian goddess of Earth, nature, and the life/death cycle."
Felesta Fossae,Venus,570.00,34.50,46.50,"Fossa, fossae",1991,Amazon queen in Scythian epic tales.
Felicia,Venus,11.50,-19.80,226.50,"Crater, craters",1994,First name from Latin.
Ferber,Venus,23.10,26.40,12.90,"Crater, craters",1991,Edna; American author (1887-1968).
Fernandez,Venus,23.70,76.20,17.20,"Crater, craters",1985,M. A.; Spanish actress (18th century).
Feronia Corona,Venus,360.00,68.00,281.70,"Corona, coronae",1985,Ancient Italian goddess of spring and flowers.
Ferrier,Venus,29.10,15.70,111.30,"Crater, craters",1991,Kathleen; English opera singer (1912-1953).
Feruk,Venus,8.30,-64.00,107.60,"Crater, craters",1997,Nivkhi (Sakhalin Isl.) first name.
Festa,Venus,35.30,11.50,27.20,"Crater, craters",1991,Italian painter.
Fetu-ao Vallis,Venus,400.00,-61.00,254.70,"Vallis, valles",1997,Samoan name for planet Venus.
Fiona,Venus,3.50,5.00,166.60,"Crater, craters",2003,Celtic first name.
Firtos Mons,Venus,143.00,-47.35,220.09,"Mons, montes","May 05, 2023","Hungarian diminished goddess, queen of the good fairies."
Firuza,Venus,6.00,51.80,108.00,"Crater, craters",1997,Persian first name.
Flagstad,Venus,39.20,-54.30,18.90,"Crater, craters",1991,Kirsten; Norwegian opera singer (1895-1962).
Flidais Corona,Venus,150.00,-24.50,177.30,"Corona, coronae",1997,Irish fertility goddess.
Florence,Venus,10.50,-15.20,85.00,"Crater, craters",1997,English first name.
Flosshilde Farra,Venus,75.00,10.50,279.40,"Farrum, farra",1994,German water nymph.
Flutra,Venus,6.00,-68.40,112.00,"Crater, craters",1997,Albanian first name.
Fonueha Planitia,Venus,3000.00,-44.00,48.00,"Planitia, planitiae",1997,Samoan folktale blind old woman who became the shark.
Fornax Rupes,Venus,729.00,30.30,201.10,"Rupes, rupēs",1985,Roman goddess of hearth and baking of bread.
Fortuna Tessera,Venus,2801.00,69.90,45.10,"Tessera, tesserae",1985,Roman goddess of chance.
Fossey,Venus,30.40,2.00,188.70,"Crater, craters",1994,"Dian; American zoologist, conservationist (1932-1985)."
Fotla Corona,Venus,150.00,-58.50,163.50,"Corona, coronae",1994,Celtic fertility goddess.
Fouquet,Venus,47.80,-15.10,203.50,"Crater, craters",1994,"Marie; French medical writer, charity worker (17th century)."
Francesca,Venus,17.00,-28.00,57.70,"Crater, craters",1994,Italian first name.
Frank,Venus,22.70,-13.10,12.90,"Crater, craters",1991,"Anne; Dutch heroine, diarist (1929-1945)."
Fredegonde,Venus,25.20,-50.50,93.30,"Crater, craters",1991,Frankish queen (d. A.D. 597).
Freyja Montes,Venus,579.00,74.10,333.80,"Mons, montes",1979,"Norse, mother of Odin."
Friagabi Fossae,Venus,141.00,50.20,109.50,"Fossa, fossae",1985,"Old English goddess, connected with Mars."
Frida,Venus,21.60,68.20,55.60,"Crater, craters",1985,Swedish first name.
Frigg Dorsa,Venus,896.00,51.20,150.60,"Dorsum, dorsa",1985,"Norse, wife of supreme god Odin."
Frosya,Venus,9.80,29.50,113.40,"Crater, craters",1997,Russian first name.
Fufei Vallis,Venus,170.00,46.00,341.00,"Vallis, valles",1997,Chinese goddess of Lo River.
Fukiko,Venus,13.90,-23.10,105.80,"Crater, craters",1994,Japanese first name.
Fulgora Dorsa,Venus,463.00,78.50,342.00,"Dorsum, dorsa","Sep 04, 2009",Roman goddess of lightning.
[Furachoga Corona],Venus,550.00,-38.00,258.00,"Corona, coronae",1997,Chibcha/Muiska earth goddess.
[Furki Mons],Venus,79.00,35.90,236.40,"Mons, montes",1985,"Chechen and Ingush (Caucasus) goddess, wife of thunder god Sela. Name changed to Furki Tholus."
Furki Tholus,Venus,79.00,35.90,236.40,"Tholus, tholi",1997,"Chechen and Ingush (Caucasus) goddess, wife of thunder god Sela. Name changed from Furki Mons."
Gabie Rupes,Venus,350.00,67.50,109.90,"Rupes, rupēs",1985,Lithuanian goddess of fire and hearth.
Gabriela,Venus,17.50,-17.80,240.40,"Crater, craters",1994,First name from Hebrew.
Gahano,Venus,4.50,-80.20,77.40,"Crater, craters",1997,Seneca first name.
Gaia Corona,Venus,400.00,6.00,21.50,"Corona, coronae",1994,Greek earth/fertility goddess.
Gail,Venus,10.00,-16.10,97.50,"Crater, craters",2006,Hebrew first name.
Galina,Venus,16.80,47.60,307.10,"Crater, craters",1985,Bulgarian first name.
Galindo,Venus,23.80,-23.30,258.80,"Crater, craters",1994,"Beatriz (Beatrix); Spanish professor of Latin, philosophy, and medicine (1473-1535)."
Gamsilg Chasma,Venus,600.00,-46.00,64.00,"Chasma, chasmata",1997,Chechen and Ingush evil forest deity.
Ganga Valles,Venus,200.00,4.80,53.00,"Vallis, valles",2006,Hindu goddess of the sacred river Ganges.
Ganiki Planitia,Venus,5160.00,40.00,202.00,"Planitia, planitiae",1985,"Orochian (Siberia) water spirit, mermaid."
Ganis Chasma,Venus,3700.00,18.00,189.00,"Chasma, chasmata",1982,Western Lapp forest maiden.
Garbo Patera,Venus,75.00,1.50,258.20,"Patera, paterae",2003,Greta Gustafsson; Swedish-born American actress (1905-1990).
Garland Patera,Venus,45.00,32.70,206.80,"Patera, paterae",2006,Judy; American singer and actress (1922-1969).
Gashan-Ki Corona,Venus,225.00,11.70,243.70,"Corona, coronae",2003,Babylonian “;Lady of the Earth.“;
Gauri Mons,Venus,75.00,-20.20,102.20,"Mons, montes",2003,Indian mountain goddess.
Gautier,Venus,59.30,26.30,42.80,"Crater, craters",1994,Judith; French novelist (1845-1917).
Gaze,Venus,33.30,17.90,240.20,"Crater, craters",1994,Vera; Soviet astronomer (1899-1954).
Gbadu Tessera,Venus,700.00,-1.00,38.00,"Tessera, tesserae",1997,Fon (Benin) goddess of guessing.
Gefjun Corona,Venus,300.00,-33.50,98.50,"Corona, coronae",1994,Norse fertility goddess.
Gegute Tessera,Venus,1600.00,17.00,121.00,"Tessera, tesserae",1997,Lithuanian goddess of time.
Gendenwitha Vallis,Venus,900.00,-63.00,259.00,"Vallis, valles",1997,Iroquois name for planet Venus.
Gentileschi,Venus,20.50,45.20,260.60,"Crater, craters",1994,Artemisia; Italian painter (1593-c. 1652).
Georgina,Venus,5.90,-20.40,58.80,"Crater, craters",1997,Greek first name.
[Gerda],Venus,30.00,45.90,91.00,"Crater, craters",1994,"Danish, German first name."
Gerd Tholi,Venus,50.00,-54.50,291.50,"Tholus, tholi",1997,Scandinavian sky maiden.
Germain,Venus,35.50,-37.90,63.70,"Crater, craters",1991,Sophie; French mathematician (1776-1831).
Gertjon Corona,Venus,250.00,-30.00,276.00,"Corona, coronae",1991,Teutonic goddess of fertility.
Geyaguga Chasma,Venus,800.00,-56.50,70.00,"Chasma, chasmata",1997,Cherokee moon deity.
Giliani,Venus,19.90,-72.90,142.10,"Crater, craters",1994,Alessandra; Italian anatomist (c. 1307-1326).
Gillian,Venus,14.70,-15.20,50.10,"Crater, craters",1994,First name from Latin.
Gilmore,Venus,21.30,-6.70,132.80,"Crater, craters",1994,Mary; Australian poet (1865-1962).
Giltine Tesserae,Venus,300.00,-39.00,250.00,"Tessera, tesserae",1997,Lithuanian bad fate goddess.
Gina,Venus,14.60,78.10,76.50,"Crater, craters",1985,Italian first name.
Giselle,Venus,10.40,-11.80,298.00,"Crater, craters",1997,French first name.
Glaspell,Venus,26.30,-58.40,269.60,"Crater, craters",1994,"Susan; American playwright, novelist (c. 1876-1948)."
Gloria,Venus,20.70,68.50,94.20,"Crater, craters",1985,Portuguese first name.
Godiva,Venus,30.70,-56.10,251.60,"Crater, craters",1994,(Godgifu); Mercian noblewoman (c. 1040-1085).
Goeppert-Mayer,Venus,33.50,59.70,26.80,"Crater, craters",1991,"Maria; Polish physicist, Nobel laureate (1907-1972)."
Golubkina,Venus,28.40,60.30,286.50,"Crater, craters",1985,Anna; Soviet sculptor (1864-1927).
Goncharova,Venus,30.30,-63.00,97.70,"Crater, craters",1994,Natalya; Russian artist (1881-1962).
[Goppert-Mayer],Venus,33.50,59.70,26.80,"Crater, craters",1991,"Maria; Polish physicist, Nobel laureate (1907-1972)."
Grace,Venus,19.00,-13.80,268.90,"Crater, craters",1994,First name from Greek.
[Graham],Venus,75.00,-6.00,6.00,"Crater, craters",1994,"Martha; American dancer, choreographer (1894-1991). Name changed to Graham Patera."
Graham Patera,Venus,75.00,-6.00,6.00,"Patera, paterae",1997,"Martha; American dancer, choreographer (1894-1991). Name changed from Graham crater."
Gražina,Venus,16.50,72.40,337.50,"Crater, craters",1994,Lithuanian first name.
Grechukha Tholi,Venus,200.00,-8.60,255.80,"Tholus, tholi",2000,Ukrainian field deity.
Greenaway,Venus,93.00,22.90,145.10,"Crater, craters",1991,"Kate; English author, illustrator (1846-1901)."
Gregory,Venus,18.00,7.10,95.80,"Crater, craters",1994,Isabella; Irish playwright (1852-1932).
Gretchen,Venus,20.80,-59.70,212.30,"Crater, craters",1994,German first name.
Grey,Venus,50.00,-52.40,329.40,"Crater, craters",1994,Jane; English queen (1537-1554).
Grimke,Venus,34.80,17.20,215.30,"Crater, craters",1994,Sarah; American abolitionist (1792-1873).
Grizodubova Patera,Venus,50.00,16.70,299.60,"Patera, paterae",1997,Valentina; Soviet aviatrix (1910-1993).
Guan Daosheng,Venus,43.60,-61.10,181.80,"Crater, craters",1994,"Chinese painter, calligrapher (1262-1319)."
Gudrun,Venus,13.30,10.60,326.40,"Crater, craters",1994,First name from Norse.
Guilbert,Venus,25.50,-58.00,13.60,"Crater, craters",1991,Yvette; French singer (1865-1944).
Guinevere Planitia,Venus,7520.00,21.90,325.00,"Planitia, planitiae",1982,"British, wife of Arthur."
Gui Ye Chasma,Venus,210.00,-9.00,337.10,"Chasma, chasmata",1997,Chinese moon fairy.
Gulaim Fossae,Venus,800.00,-5.00,329.00,"Fossa, fossae",1997,Karakalpak amazon leader.
Gula Mons,Venus,276.00,21.90,359.10,"Mons, montes",1982,"Babylonian earth mother, creative force."
Gulchatay,Venus,9.00,20.50,295.50,"Crater, craters",1997,Arabic first name.
Gulnara,Venus,5.00,-23.70,174.00,"Crater, craters",1997,Uzbek first name.
Gunda Planitia,Venus,1200.00,-16.00,267.00,"Planitia, planitiae",1997,"Abkhazian epic heroine, beautiful sister of the giant knights."
Guor Linea,Venus,0.00,20.00,0.00,"Linea, lineae",1982,Northern European Valkyrie.
Gurshi Mons,Venus,210.00,-47.50,58.50,"Mons, montes",1997,Buryatian fishing deity.
Guzel,Venus,7.30,-57.60,298.70,"Crater, craters",1997,Arabic first name.
Gwen Mons,Venus,200.00,-21.40,238.70,"Mons, montes",2003,Irish goddess of happiness and smiles.
Gwynn,Venus,32.00,9.70,37.20,"Crater, craters",1994,"Nell; English actress, courtesan (1650-1687)."
Haasttse-baad Tessera,Venus,2600.00,6.00,127.00,"Tessera, tesserae",1997,Navajo good health goddess.
Habonde Corona,Venus,125.00,3.00,81.80,"Corona, coronae",1994,Danish goddess of abundance.
Hadisha,Venus,8.90,-39.00,97.20,"Crater, craters",1997,Kazakh first name.
Halima,Venus,8.90,28.50,14.60,"Crater, craters",1997,Hausa first name.
Halle,Venus,21.50,-19.80,145.50,"Crater, craters",1991,Wilhelmina; Austrian violinist (1839-1911).
Hallgerda Mons,Venus,57.00,53.10,198.30,"Mons, montes",1991,Icelandic goddess of vanity.
Hamuda,Venus,15.80,62.90,2.50,"Crater, craters",2000,Hebrew first name.
Hanekasa Fossae,Venus,700.00,29.00,148.50,"Fossa, fossae",1997,Sanema (Venezuela) amazon warrior.
Hanghepiwi Chasma,Venus,1100.00,-48.50,18.00,"Chasma, chasmata",1997,Dakota name of the moon and night.
Hanka,Venus,5.00,-27.30,114.30,"Crater, craters",1997,Czech first name.
Hannah,Venus,19.80,17.90,102.60,"Crater, craters",1994,First name from Hebrew.
Hannahannas Corona,Venus,200.00,0.00,170.50,"Corona, coronae",2003,Hittite (Asia Minor) mother and insect goddess.
Hansberry,Venus,26.60,-22.70,324.10,"Crater, craters",1994,Lorraine; American playwright (1930-1965).
Hanwi Chasma,Venus,1800.00,10.50,247.00,"Chasma, chasmata",2006,Oglala (Sioux) moon and sky goddess.
Hapei,Venus,4.20,66.10,178.00,"Crater, craters",1997,Cheyenne (Oklahoma) first name.
[Hariasa Linea],Venus,0.00,19.00,15.00,"Linea, lineae",1982,German war goddess.
Hathor Mons,Venus,333.00,-38.70,324.70,"Mons, montes",1979,Egyptian sky goddess.
Hatshepsut Patera,Venus,118.00,28.10,64.50,"Patera, paterae",1985,Egyptian pharaoh (1479 B.C.).
Haumea Corona,Venus,375.00,54.00,21.80,"Corona, coronae",1994,Polynesian fertility goddess.
Hayashi,Venus,43.10,53.80,243.90,"Crater, craters",1985,Fumiko; Japanese writer (1903-1951).
Heather,Venus,11.50,-6.80,334.10,"Crater, craters",1994,English first name.
Hecate Chasma,Venus,3145.00,18.20,254.30,"Chasma, chasmata",1982,Greek moon goddess.
Heidi,Venus,15.20,23.60,350.10,"Crater, craters",1994,First name; form of Hester.
Helen Planitia,Venus,4360.00,-51.70,263.90,"Planitia, planitiae",1982,Greek; “;the face that launched 1000 ships.“;
Helga,Venus,8.80,-10.40,116.70,"Crater, craters",1997,Norwegian first name.
Hellman,Venus,34.70,4.70,356.30,"Crater, craters",1991,"Lillian; American playwright, author (1905-1984)."
Helmud Vallis,Venus,280.00,-33.90,171.30,"Vallis, valles",1997,Afghanistan river goddess.
Heloha Fluctus,Venus,375.00,77.00,344.00,"Fluctus, fluctūs","Sep 04, 2009",Choktaw (SE USA) female thunderbird.
Heloise,Venus,38.00,40.00,51.90,"Crater, craters",1994,"French physician, hospital founder (c. 1098-1164)."
Helvi,Venus,12.20,12.40,82.70,"Crater, craters",1997,Estonian first name.
Hemera Dorsa,Venus,587.00,51.00,243.40,"Dorsum, dorsa",1985,"Greek goddess, personification of day."
Heng-o Chasma,Venus,734.00,6.60,355.50,"Chasma, chasmata",1982,Chinese moon goddess.
Heng-o Corona,Venus,1060.00,2.00,355.00,"Corona, coronae",1994,Named for associated chasma.
Henie,Venus,70.40,-51.90,146.00,"Crater, craters",1991,Sonja; Norwegian skater (1912-1969).
Henwen Fluctus,Venus,485.00,-20.50,179.90,"Fluctus, fluctūs",1994,British Celtic sow-goddess.
Hepat Corona,Venus,150.00,-2.00,145.50,"Corona, coronae",1994,Hittite mother goddess.
Hepworth,Venus,62.60,5.10,94.70,"Crater, craters",1991,Barbara; English sculptor (1903-1975).
Heqet Corona,Venus,250.00,7.00,169.50,"Corona, coronae",2003,Egyptian fertility goddess.
Hera Dorsa,Venus,813.00,36.40,29.50,"Dorsum, dorsa",1985,"Greek sky goddess, wife of Zeus."
Hervor Corona,Venus,250.00,-25.50,269.00,"Corona, coronae",1991,Norse fertility goddess.
Hestia Rupes,Venus,588.00,6.00,71.10,"Rupes, rupēs",1982,Greek hearth goddess.
Hiei Chu Patera,Venus,139.00,48.20,97.40,"Patera, paterae",1985,"Chinese, converted silk worm product into thread and material (2698 B.C.)."
Higgins,Venus,40.00,8.10,241.30,"Crater, craters",1994,Marguerite; American journalist (1920-1966).
Hikuleo Fluctus,Venus,600.00,52.50,208.00,"Fluctus, fluctūs",1997,Tonga (Polynesia) underworld goddess.
[Hikuleo Tesserae],Venus,1400.00,-42.00,54.00,"Tessera, tesserae",1997,Tonga underworld goddess.
[Hildr Fossa],Venus,677.00,45.40,159.40,"Fossa, fossae",1985,Norse mythological warrior.
Hilkka,Venus,10.30,-69.00,72.00,"Crater, craters",1997,Finnish first name.
Himiko,Venus,36.60,19.00,124.30,"Crater, craters",1991,Japanese queen (4th century A.D.).
Hina Chasma,Venus,415.00,63.70,20.00,"Chasma, chasmata",1991,Hawaiian moon goddess.
Hinemoa Planitia,Venus,3700.00,5.00,265.00,"Planitia, planitiae",1997,Māori tale heroine; swam across Rotorua Lake to her friend.
Hippolyta Linea,Venus,0.00,-42.00,345.00,"Linea, lineae",1982,Amazon queen.
Hiriata,Venus,5.00,15.30,23.50,"Crater, craters",1997,Polynesian first name.
Hiromi,Venus,6.00,35.20,287.30,"Crater, craters",1997,Japanese first name.
Hlineu Corona,Venus,150.00,-38.70,241.00,"Corona, coronae",1997,"Chin/Kieng (Burma/Myanmar, Bangladesh) ancestor goddess."
Hoku-ao Vallis,Venus,450.00,28.00,166.50,"Vallis, valles",1997,Hawaiian name for planet Venus.
Holde Corona,Venus,200.00,53.50,155.80,"Corona, coronae",1994,German fertility goddess.
Holiday,Venus,27.70,-46.70,12.80,"Crater, craters",1991,Billie; American singer (1915-1959).
Holla Corona,Venus,180.00,-13.00,237.70,"Corona, coronae",2003,"German Earth, nature, and household affairs goddess."
Horner,Venus,25.20,23.40,97.70,"Crater, craters",1991,"Mary; English naturalist, geologist (19th century)."
Howe,Venus,38.60,-45.70,174.80,"Crater, craters",1994,"Julia; American biographer, poet (1819-1910)."
Hroswitha Patera,Venus,163.00,35.80,34.80,"Patera, paterae",1985,German writer (c. A.D. 935-975).
Hsueh T'ao,Venus,21.00,-52.60,13.80,"Crater, craters",1994,"Chinese poet, artist (c. A.D.760)."
Hua Mulan,Venus,24.00,86.80,337.70,"Crater, craters",1991,Chinese warrior (c. A.D. 590).
Huang Daopo,Venus,29.10,-54.20,165.30,"Crater, craters",1991,Chinese engineer.
Huarei,Venus,8.50,15.00,32.30,"Crater, craters",1997,Polynesian first name.
Hulda Corona,Venus,230.00,12.00,308.30,"Corona, coronae",1997,German goddess of fruitfulness and marriage.
Hull,Venus,47.30,59.40,263.60,"Crater, craters",1994,Peggy; American war correspondent (1889-1967).
Humai Tessera,Venus,350.00,-53.00,250.00,"Tessera, tesserae",1997,Iranian happiness bird.
H'uraru Corona,Venus,150.00,9.00,68.00,"Corona, coronae",1994,Pawnee earth mother.
Hurston,Venus,52.40,-77.60,94.70,"Crater, craters",1994,"Zora; American writer, anthropologist (1891-1960)."
Husbishag Tesserae,Venus,1100.00,-28.00,101.00,"Tessera, tesserae",1997,"Semitic underworld goddess, kept hour of death records."
Hutash Corona,Venus,91.00,-34.30,275.70,"Corona, coronae","Sep 25, 2006","Chumash (S. California) Earth and nature goddess, creator of the first people."
Hwangcini,Venus,30.20,6.30,141.80,"Crater, craters",1991,Korean poet (16th century A.D.).
Hyndla Regio,Venus,2300.00,22.50,294.50,"Regio, regiones",1991,Norse wood giantess.
Iang-Mdiye Corona,Venus,300.00,-47.00,86.00,"Corona, coronae",1997,Ede (Vietnam) goddess of rice.
Iaso Tholus,Venus,30.00,5.20,255.30,"Tholus, tholi",2003,"Greek goddess of health, medicine, and recovery."
Icheko,Venus,5.90,6.60,97.90,"Crater, craters",1997,Evenk/Tungu first name.
Ichikawa,Venus,31.40,-61.60,156.30,"Crater, craters",1994,Fusaye; Japanese feminist (1893-1981).
Idem-Kuva Corona,Venus,230.00,25.00,358.00,"Corona, coronae",1994,Finno-Ugraic harvest spirit.
Idunn Mons,Venus,250.00,-46.50,214.50,"Mons, montes",1994,Norse goddess.
Ignirtoq Tholi,Venus,90.00,-50.98,222.80,"Tholus, tholi","May 05, 2023",Inuit lightning goddess (in some myths – god of light and truth).
Ikas Coronae,Venus,225.00,-40.70,288.60,"Corona, coronae","Sep 25, 2006",Algonquin Earth and mother goddess.
Ikhwezi Vallis,Venus,1700.00,16.00,147.80,"Vallis, valles",1997,Zulu name for planet Venus.
Ilaheva Fluctus,Venus,900.00,-42.50,84.00,"Fluctus, fluctūs",2000,Tonga (Polynesia) worm goddess.
Ilbis Fossae,Venus,512.00,71.90,254.60,"Fossa, fossae",1985,Yakutian (Siberia) goddess of bloodshed.
Ilga,Venus,10.80,-12.40,307.30,"Crater, craters",1994,Latvian first name.
Ilithyia Mons,Venus,90.00,-13.50,315.50,"Mons, montes",1994,Greek goddess of childbirth.
Ilmatar Corona,Venus,110.00,34.30,25.00,"Corona, coronae",2003,"Finnish sky goddess, creator of the world."
Ilyana Corona,Venus,300.00,-69.50,65.00,"Corona, coronae",1997,Moldavian main female deity.
Imagmi,Venus,7.60,-48.40,100.70,"Crater, craters",1997,Eskimo (Chukotka) first name.
Imapinua Planitia,Venus,2100.00,-60.00,142.00,"Planitia, planitiae",1997,E. Greenland Eskimo sea mistress.
Imdr Regio,Venus,1611.00,-43.00,212.00,"Regio, regiones",1982,Norse giantess.
Inacho Corona,Venus,125.00,-20.50,212.20,"Corona, coronae",2003,Micronesian Earth and nature goddess.
Inanna Corona,Venus,350.00,-37.00,35.90,"Corona, coronae",1994,Semitic fertility goddess.
Inari Corona,Venus,300.00,-18.00,120.30,"Corona, coronae",1994,Japanese rice goddess.
Indira,Venus,16.60,64.10,289.80,"Crater, craters",1985,Hindu first name.
Indrani Corona,Venus,200.00,-37.50,70.50,"Corona, coronae",1994,Hindu fertility goddess.
Ines,Venus,11.20,-67.10,241.90,"Crater, craters",1997,Spanish first name.
Inga,Venus,10.00,38.10,226.60,"Crater, craters",1997,Danish first name.
Ingrid,Venus,11.50,-12.40,308.90,"Crater, craters",1994,Scandinavian first name.
Inira,Venus,16.50,-43.10,239.40,"Crater, craters",1994,Eskimo first name.
Inkeri,Venus,10.10,-28.30,223.90,"Crater, craters",1997,Finnish first name.
Innini Mons,Venus,339.00,-34.60,328.50,"Mons, montes",1982,Babylonian earth mother worshipped at Kish.
Iondra,Venus,7.90,10.50,286.50,"Crater, craters",1997,Selkup (Samoyed) first name.
Iraida,Venus,6.50,27.80,108.10,"Crater, craters",1997,Greek first name.
Irene,Venus,13.60,49.80,134.00,"Crater, craters",1994,First name from Greek.
Irina,Venus,15.20,35.00,91.20,"Crater, craters",1985,Russian first name.
Irinuca,Venus,8.00,51.40,121.90,"Crater, craters",1997,Romanian first name.
Iris Dorsa,Venus,2050.00,52.70,221.30,"Dorsum, dorsa",1985,Greek goddess of the rainbow.
Irma,Venus,9.50,-50.90,122.00,"Crater, craters",1997,Finnish first name.
Irnini Mons,Venus,525.00,14.60,16.00,"Mons, montes",1997,Assyro-Babylonian goddess of cedar-tree mountains.
