Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Alcyone Tholus,Venus,70.00,-2.10,256.40,"Tholus, tholi",2003,Greek goddess who is the personification of a rain cloud.
Aleksota Mons,Venus,250.00,-9.00,308.50,"Mons, montes",1997,Lithuanian goddess of love.
Ale Tholus,Venus,87.00,68.20,247.00,"Tholus, tholi",1985,Igbo (Nigeria) goddess who created Earth and vegetation.
Alima,Venus,10.30,-46.00,229.20,"Crater, craters",1994,Tatar first name.
Alimat,Venus,13.50,-29.50,205.90,"Crater, craters",1994,Osset first name.
Alina,Venus,3.70,8.30,267.78,"Crater, craters","Oct 25, 2009",Short form of French first name Adeline/Adelaide.
Alison,Venus,14.40,-4.00,165.60,"Crater, craters",1994,Irish first name.
Alkonost Dorsa,Venus,730.00,-5.00,341.00,"Dorsum, dorsa",1997,"E. Slavic wonder bird with woman's face, lives in Paradise."
Allat Dorsa,Venus,750.00,60.00,70.00,"Dorsum, dorsa",1985,Arab sky goddess.
Allatu Corona,Venus,125.00,15.50,114.00,"Corona, coronae",1994,Akkadian earth goddess.
Alma,Venus,16.80,-2.40,228.80,"Crater, craters",1994,Kazakh first name.
Alma-Merghen Planitia,Venus,1500.00,-76.00,100.00,"Planitia, planitiae",1997,Mongol/Tibet/Buryat “;Gheser“; epic tale heroine.
Almeida,Venus,15.50,46.60,123.30,"Crater, craters",1985,Portuguese first name.
Alpan Fluctus,Venus,500.00,-7.50,349.00,"Fluctus, fluctūs",1997,Lezghin (Daghestan) fire goddess.
Alpha Regio,Venus,1897.00,-25.50,0.30,"Regio, regiones",1979,First letter in Greek alphabet.
Altana,Venus,6.00,1.40,69.90,"Crater, craters",1997,Kalmyk first name.
Al-Taymuriyya,Venus,19.00,32.90,336.10,"Crater, craters",1991,"Ayesha; Egyptian author, feminist (1840-1902)."
Al-Uzza Undae,Venus,150.00,67.70,90.50,"Unda, undae",1994,Arabian desert goddess.
Ama Corona,Venus,300.00,-45.70,278.20,"Corona, coronae",1997,"Jukun (Central Nigeria) goddess of childbirth, personification of earth."
[Amalasthuna],Venus,15.40,-11.50,342.40,"Crater, craters",1991,Ostrogoth queen (c. 498-535 A.D.). Changed to Amalasuntha.
Amalasuntha,Venus,15.40,-11.50,342.40,"Crater, craters",1991,Ostrogoth queen (c. 498-535 A.D.). Changed from Amalasthuna.
Amanda,Venus,12.50,-29.20,94.50,"Crater, craters",1997,Latin first name. Name changed from Lida.
Amaya,Venus,34.50,11.30,89.40,"Crater, craters",1991,Carmen; Spanish Gypsy dancer (1913-1963).
Ambar-ona Corona,Venus,550.00,-70.00,82.50,"Corona, coronae",1997,Uzbek women's and fertility goddess.
Amelia,Venus,3.30,8.57,280.45,"Crater, craters","Oct 25, 2009",First name from Latin.
Amenardes,Venus,27.90,15.00,54.30,"Crater, craters",1991,Egyptian princess (718-655 B.C.).
Ament Corona,Venus,115.00,-67.20,217.90,"Corona, coronae",1994,Egyptian earth goddess.
Aminata,Venus,9.70,6.60,25.20,"Crater, craters",1997,Mandingo first name.
Amitolane Dorsa,Venus,900.00,-77.00,335.00,"Dorsum, dorsa",1997,Zuni (SW USA) name of the rainbow.
Among Corona,Venus,210.00,-13.40,213.50,"Corona, coronae",2003,Karen (Burma/Myanmar) mythological first woman.
Amra Tholus,Venus,50.00,53.00,98.00,"Tholus, tholi",1997,Abkhazian sun deity.
Anahit Corona,Venus,324.00,77.10,277.30,"Corona, coronae",1985,Armenian goddess of fertility.
[Anala Corona],Venus,240.00,11.00,14.00,"Corona, coronae",1994,Hindu fertility goddess. Name changed to Anala Mons.
Anala Mons,Venus,525.00,11.00,14.10,"Mons, montes",1997,Hindu fertility goddess. Name changed from Anala Corona.
Ananke Tessera,Venus,1060.00,53.30,137.00,"Tessera, tesserae",1985,Greek goddess of necessity.
Anaxandra,Venus,20.40,44.20,162.30,"Crater, craters",1994,Greek artist (fl. c. 228 B.C.).
Andami,Venus,28.90,-17.50,26.50,"Crater, craters",1991,Iranian doctor.
Andreianova,Venus,66.10,-3.00,68.80,"Crater, craters",1994,Elena; Russian ballerina (c. 1821-c. 1855).
Angerona Tholus,Venus,200.00,-29.80,287.20,"Tholus, tholi",1997,Italian goddess of silence.
Angrboda Tholus,Venus,80.00,-73.80,116.00,"Tholus, tholi",1997,"Norse Titaness, mother of three terrible deities."
Anicia,Venus,38.20,-26.30,31.30,"Crater, craters",1991,"Greek physician, poet (fl. c.300 B.C.)."
Anjea Corona,Venus,145.00,-29.00,282.80,"Corona, coronae","Sep 25, 2006","Australian (Queensland) mother and guardian goddess, forms infants from mud and places them into their future mothers."
Annabelle,Venus,7.70,-4.15,286.29,"Crater, craters","Aug 18, 2017",Scottish first name of Latin origin.
Annapurna Corona,Venus,300.00,-35.50,152.00,"Corona, coronae",1994,Indian goddess of wealth.
Annia Faustina,Venus,23.40,22.10,4.70,"Crater, craters",1991,"Roman empress, wife of Marcus Aurelius (125-175 A.D.)."
Anning Paterae,Venus,0.00,66.50,57.80,"Patera, paterae",1991,Mary; English paleontologist (1799-1847).
Anpao Dorsa,Venus,550.00,62.00,207.00,"Dorsum, dorsa",1997,Dakota name of the dawn.
Anqet Farra,Venus,125.00,33.60,311.50,"Farrum, farra",1994,Egyptian goddess of fertile waters.
