Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Bella Dorsum,Dinkinesh,0.37,24.40,311.10,"Dorsum, dorsa","Dec 20, 2024",Italian word for “beautiful.”
Fab Dorsum,Dinkinesh,2.66,0.00,0.00,"Dorsum, dorsa","Dec 20, 2024",English word derived from “fabulous.”
Indah Fossa,Dinkinesh,0.49,-8.52,4.31,"Fossa, fossae","Dec 20, 2024",Indonesian word for “beautiful.”
Sumak Fossa,Dinkinesh,1.07,0.00,354.00,"Fossa, fossae","Dec 20, 2024",Kichwa (Ecuadorian Quechua) word for “beautiful.”
Totoka Saxum,Dinkinesh,0.0090,2.30,356.90,"Saxum, saxa","Dec 20, 2024",Fijian word for “beautiful.”
