Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Gaea,Amalthea,80.00,-80.00,90.00,"Crater, craters",1979,Greek mother earth goddess who brought Zeus to Crete.
Ida Facula,Amalthea,50.00,20.00,175.00,"Facula, faculae",1979,Greek; mountain where Zeus played as a child.
Lyctos Facula,Amalthea,25.00,-20.00,170.00,"Facula, faculae",1979,Greek; area in Crete where Zeus was raised.
Pan,Amalthea,100.00,55.00,35.00,"Crater, craters",1979,"Greek; goat-god, son of Amalthea and Hermes in some legends, also Zeus' foster brother."
