Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Akasa Linea,Arrokoth,9.00,0.00,0.00,"Linea, lineae","Sep 02, 2021",Word for 'sky' in Bengali (Bangla) and related languages.
Ka'an Arcus,Arrokoth,9.00,0.00,0.00,"Arcus, arcūs","Sep 02, 2021",Word for 'sky' in Yucatec Maya.
Sky,Arrokoth,6.80,0.00,0.00,"Crater, craters","Sep 02, 2021",Word for 'sky' in the English language.
Weeyo Lobus,Arrokoth,15.40,0.00,0.00,"Lobus, lobi","Apr 11, 2022",Word for 'sky' in the Pulaar language of western Africa.
Wenu Lobus,Arrokoth,21.60,0.00,0.00,"Lobus, lobi","Apr 11, 2022",Word for “;sky“; in the Mapuche language.
